clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
269906__theriavirra__02_crash_loud_cymbals__snares,gain_matched_loudness,70.84145649382361,-19.745328252648267,17.365916867403207,0.5705153276599148,0.07726298333769659,0.020616477054686676,-0.027365643795718597,-0.027365643795704386,0.9968543717152907,3.552713678800501e-15,lufs,
269906__theriavirra__02_crash_loud_cymbals__snares,limiter_matched_exposure,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,0.0,0.0,0.0,,0.03497521961867278,laeq,84.0
269906__theriavirra__02_crash_loud_cymbals__snares,limiter_matched_loudness,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,0.0,0.0,0.0,,0.027365643795700834,lufs,84.0
380303__evanboyerman__various-male-command-voice-lines-mixed,original,72.32800034814362,-16.891442109431082,18.062856703182653,0.999969482421875,0.12498097576711299,,,,,,,
380303__evanboyerman__various-male-command-voice-lines-mixed,proposed,70.6348793241616,-18.46916129398193,19.46313560361604,0.9781371064665518,0.10405020839571896,0.6722806904480202,-1.693121023982016,-1.5777191845508476,,,,
380303__evanboyerman__various-male-command-voice-lines-mixed,gain_matched_exposure,70.6348793241616,-18.5845631334131,18.062856703182653,0.8228689877907013,0.10284610763670307,1.6931210239820162,-1.693121023982016,-1.693121023982016,0.8228941005257027,0.0,laeq,
380303__evanboyerman__various-male-command-voice-lines-mixed,gain_matched_loudness,70.75028116359277,-18.46916129398193,18.06285670318265,0.8338746799127954,0.10422165175538997,1.5777191845508485,-1.577719184550844,-1.5777191845508476,0.8339001285251161,0.0,lufs,
380303__evanboyerman__various-male-command-voice-lines-mixed,limiter_matched_exposure,70.68071244612966,-18.32796309749544,18.442893450433182,0.895294189453125,0.10710779861805778,0.8770059509130336,-1.6472879020139573,-1.436520988064359,,0.045833121968058776,laeq,79.5
380303__evanboyerman__various-male-command-voice-lines-mixed,limiter_matched_loudness,70.68071244612966,-18.32796309749544,18.442893450433182,0.895294189453125,0.10710779861805778,0.8770059509130336,-1.6472879020139573,-1.436520988064359,,0.14119819648648857,lufs,79.5
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,original,64.76434109645395,-22.284397166623446,16.083217107803453,0.4761704251678054,0.07474834176118444,,,,,,,
