clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,matched_to,gain,match_error,match_metric,limiter_target_dba
269906__theriavirra__02_crash_loud_cymbals__snares,aligned_gain_matched_loudness,69.03345732497723,-21.553327421494647,17.36591686740321,0.4633053960243852,0.06274390074693184,1.3749222664426162,-1.8353648126420978,-1.8353648126420836,aligned,0.8095277849248266,3.552713678800501e-15,lufs,
269906__theriavirra__02_crash_loud_cymbals__snares,limiter_matched_exposure,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,0.0,0.0,0.0,,,0.03497521961867278,laeq,84.0
269906__theriavirra__02_crash_loud_cymbals__snares,limiter_matched_loudness,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,0.0,0.0,0.0,,,0.027365643795700834,lufs,84.0
380303__evanboyerman__various-male-command-voice-lines-mixed,original,72.32800034814362,-16.891442109431082,18.062856703182653,0.999969482421875,0.12498097576711299,,,,,,,,
380303__evanboyerman__various-male-command-voice-lines-mixed,proposed,70.6348793241616,-18.46916129398193,19.46313560361604,0.9781371064665518,0.10405020839571896,0.6722806904480202,-1.693121023982016,-1.5777191845508476,,,,,
380303__evanboyerman__various-male-command-voice-lines-mixed,aligned,68.25748904454558,-19.77328762057382,19.902438797776114,0.9120484864984455,0.09223504990915819,1.6075535760463722,-4.070511303598039,-2.881845511142739,,,,,
380303__evanboyerman__various-male-command-voice-lines-mixed,gain_matched_exposure,70.6348793241616,-18.5845631334131,18.062856703182653,0.8228689877907013,0.10284610763670307,1.6931210239820162,-1.693121023982016,-1.693121023982016,proposed,0.8228941005257027,0.0,laeq,
380303__evanboyerman__various-male-command-voice-lines-mixed,gain_matched_loudness,70.75028116359277,-18.46916129398193,18.06285670318265,0.8338746799127954,0.10422165175538997,1.5777191845508485,-1.577719184550844,-1.5777191845508476,proposed,0.8339001285251161,0.0,lufs,
380303__evanboyerman__various-male-command-voice-lines-mixed,aligned_gain_matched_exposure,68.25748904454558,-20.95665023820641,18.06285670318265,0.6258369215851534,0.07822009621869595,4.070511303598039,-4.070511303598039,-4.065208128775328,aligned,0.6258560211951751,0.0,laeq,
380303__evanboyerman__various-male-command-voice-lines-mixed,aligned_gain_matched_loudness,69.44615483700088,-19.767984445751114,18.06285670318265,0.7176198953628572,0.08969157192189671,2.881845511142739,-2.8818455111427426,-2.876542336320032,aligned,0.717641796052434,0.005303174822707035,lufs,
