clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref
269906__theriavirra__02_crash_loud_cymbals__snares,original,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,,,
269906__theriavirra__02_crash_loud_cymbals__snares,broadband_limiter,69.98864852554463,-20.72509119813763,17.934816299652525,0.5517314244904763,0.06998208951078437,0.7451709334029514,-0.8801736120746995,-1.0071285892850668
269906__theriavirra__02_crash_loud_cymbals__snares,ablation_crossover_only,70.86882213761288,-19.71646891612233,19.49119778276494,0.7309701539765755,0.0775067908912072,0.07487691041774146,-6.45172804070171e-12,0.0014936927302322545
269906__theriavirra__02_crash_loud_cymbals__snares,ablation_mid_only,70.84507825767014,-19.728792641728646,19.514552937225098,0.7309701539765755,0.07729866579840823,0.07673053090622621,-0.023743879949194024,-0.01083003287608264
269906__theriavirra__02_crash_loud_cymbals__snares,ablation_mid_low,70.83384691800066,-19.745328252648264,19.318666948813355,0.7123011363832005,0.07704248629210633,0.32086489952639546,-0.03497521961867278,-0.027365643795700834
269906__theriavirra__02_crash_loud_cymbals__snares,ablation_mid_high,70.84507825767014,-19.728792641728646,19.514552937225098,0.7309701539765755,0.07729866579840823,0.07673053090622621,-0.023743879949194024,-0.01083003287608264
269906__theriavirra__02_crash_loud_cymbals__snares,ablation_full,70.83384691800066,-19.745328252648264,19.318666948813355,0.7123011363832005,0.07704248629210633,0.32086489952639546,-0.03497521961867278,-0.027365643795700834
380303__evanboyerman__various-male-command-voice-lines-mixed,original,72.32800034814362,-16.891442109431082,18.062856703182653,0.999969482421875,0.12498097576711299,,,
380303__evanboyerman__various-male-command-voice-lines-mixed,broadband_limiter,69.95657239278998,-18.99306797863784,19.061573665950483,0.895294189453125,0.09974406935872444,1.310606660041436,-2.3714279553536386,-2.1016258692067566
380303__evanboyerman__various-male-command-voice-lines-mixed,ablation_crossover_only,72.3280003481436,-16.885987403045718,18.70940658494724,1.0772443879986615,0.12498097576711306,0.0031771426547267108,-1.4210854715202004e-14,0.005454706385364716
380303__evanboyerman__various-male-command-voice-lines-mixed,ablation_mid_only,70.72880756106636,-18.042602844409803,19.12504601526279,0.9989013462507509,0.11047659939960122,0.5911635216427494,-1.599192787077257,-1.1511607349787205
380303__evanboyerman__various-male-command-voice-lines-mixed,ablation_mid_low,70.64048975615032,-18.45954378179165,19.658739655658202,1.0008951819039793,0.10410021246002592,0.6665680381612722,-1.687510591993302,-1.5681016723605659
380303__evanboyerman__various-male-command-voice-lines-mixed,ablation_mid_high,70.7233101412822,-18.056550166162882,18.338657783360766,0.9120484864984455,0.11042948271926553,0.597597266774551,-1.6046902068614202,-1.1651080567317997
380303__evanboyerman__various-male-command-voice-lines-mixed,ablation_full,70.6348793241616,-18.46916129398193,19.46313560361604,0.9781371064665518,0.10405020839571896,0.6722806904480202,-1.693121023982016,-1.5777191845508476
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,original,64.76434109645395,-22.284397166623446,16.083217107803453,0.4761704251678054,0.07474834176118444,,,
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,broadband_limiter,64.76131154713156,-22.286126097145438,16.08387922907773,0.4761704251678054,0.07474264394748735,0.013704912685528753,-0.0030295493223917447,-0.001728930521991856
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,ablation_crossover_only,64.76434109645334,-22.28413554253076,16.847444131657127,0.5199645903925867,0.07474834176118074,0.012394273405390848,-6.110667527536862e-13,0.00026162409268692954
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,ablation_mid_only,64.76434109645334,-22.28413554253076,16.847444131657127,0.5199645903925867,0.07474834176118074,0.012394273405390848,-6.110667527536862e-13,0.00026162409268692954
